Gene,Genotype(s),Therapeutic Area(s),Drug(s)
CYP2B6,*1/*6,"NERVOUS SYSTEM DRUGS, ANTIINFECTIVES FOR SYSTEMIC USE","sertraline, efavirenz"
CYP2B6,*1/*7,"NERVOUS SYSTEM DRUGS, ANTIINFECTIVES FOR SYSTEMIC USE","sertraline, efavirenz"
CYP2B6,*1/*8,"NERVOUS SYSTEM DRUGS, ANTIINFECTIVES FOR SYSTEMIC USE","sertraline, efavirenz"
CYP2B6,*1/*9,"NERVOUS SYSTEM DRUGS, ANTIINFECTIVES FOR SYSTEMIC USE","sertraline, efavirenz"
CYP2B6,*1/*12,"NERVOUS SYSTEM DRUGS, ANTIINFECTIVES FOR SYSTEMIC USE","sertraline, efavirenz"
CYP2B6,*1/*13,"NERVOUS SYSTEM DRUGS, ANTIINFECTIVES FOR SYSTEMIC USE","sertraline, efavirenz"
CYP2B6,*1/*18,"NERVOUS SYSTEM DRUGS, ANTIINFECTIVES FOR SYSTEMIC USE","sertraline, efavirenz"
CYP2B6,*1/*19,"NERVOUS SYSTEM DRUGS, ANTIINFECTIVES FOR SYSTEMIC USE","sertraline, efavirenz"
CYP2B6,*1/*20,"NERVOUS SYSTEM DRUGS, ANTIINFECTIVES FOR SYSTEMIC USE","sertraline, efavirenz"
CYP2B6,*1/*26,"NERVOUS SYSTEM DRUGS, ANTIINFECTIVES FOR SYSTEMIC USE","sertraline, efavirenz"
CYP2B6,*1/*28,"NERVOUS SYSTEM DRUGS, ANTIINFECTIVES FOR SYSTEMIC USE","sertraline, efavirenz"
CYP2B6,*1/*29,"NERVOUS SYSTEM DRUGS, ANTIINFECTIVES FOR SYSTEMIC USE","sertraline, efavirenz"
CYP2B6,*1/*30,"NERVOUS SYSTEM DRUGS, ANTIINFECTIVES FOR SYSTEMIC USE","sertraline, efavirenz"
CYP2B6,*1/*34,"NERVOUS SYSTEM DRUGS, ANTIINFECTIVES FOR SYSTEMIC USE","sertraline, efavirenz"
CYP2B6,*1/*36,"NERVOUS SYSTEM DRUGS, ANTIINFECTIVES FOR SYSTEMIC USE","sertraline, efavirenz"
CYP2B6,*1/*37,"NERVOUS SYSTEM DRUGS, ANTIINFECTIVES FOR SYSTEMIC USE","sertraline, efavirenz"
CYP2B6,*1/*38,"NERVOUS SYSTEM DRUGS, ANTIINFECTIVES FOR SYSTEMIC USE","sertraline, efavirenz"
CYP2B6,*1/*39,"NERVOUS SYSTEM DRUGS, ANTIINFECTIVES FOR SYSTEMIC USE","sertraline, efavirenz"
CYP2B6,*1/*40,"NERVOUS SYSTEM DRUGS, ANTIINFECTIVES FOR SYSTEMIC USE","sertraline, efavirenz"
CYP2B6,*1/*41,"NERVOUS SYSTEM DRUGS, ANTIINFECTIVES FOR SYSTEMIC USE","sertraline, efavirenz"
CYP2B6,*1/*42,"NERVOUS SYSTEM DRUGS, ANTIINFECTIVES FOR SYSTEMIC USE","sertraline, efavirenz"
CYP2B6,*1/*43,"NERVOUS SYSTEM DRUGS, ANTIINFECTIVES FOR SYSTEMIC USE","sertraline, efavirenz"
CYP2B6,*2/*6,"NERVOUS SYSTEM DRUGS, ANTIINFECTIVES FOR SYSTEMIC USE","sertraline, efavirenz"
CYP2B6,*2/*7,"NERVOUS SYSTEM DRUGS, ANTIINFECTIVES FOR SYSTEMIC USE","sertraline, efavirenz"
CYP2B6,*2/*8,"NERVOUS SYSTEM DRUGS, ANTIINFECTIVES FOR SYSTEMIC USE","sertraline, efavirenz"
CYP2B6,*2/*9,"NERVOUS SYSTEM DRUGS, ANTIINFECTIVES FOR SYSTEMIC USE","sertraline, efavirenz"
CYP2B6,*12/*2,"NERVOUS SYSTEM DRUGS, ANTIINFECTIVES FOR SYSTEMIC USE","sertraline, efavirenz"
CYP2B6,*13/*2,"NERVOUS SYSTEM DRUGS, ANTIINFECTIVES FOR SYSTEMIC USE","sertraline, efavirenz"
CYP2B6,*18/*2,"NERVOUS SYSTEM DRUGS, ANTIINFECTIVES FOR SYSTEMIC USE","sertraline, efavirenz"
CYP2B6,*19/*2,"NERVOUS SYSTEM DRUGS, ANTIINFECTIVES FOR SYSTEMIC USE","sertraline, efavirenz"
CYP2B6,*2/*20,"NERVOUS SYSTEM DRUGS, ANTIINFECTIVES FOR SYSTEMIC USE","sertraline, efavirenz"
CYP2B6,*2/*26,"NERVOUS SYSTEM DRUGS, ANTIINFECTIVES FOR SYSTEMIC USE","sertraline, efavirenz"
CYP2B6,*2/*28,"NERVOUS SYSTEM DRUGS, ANTIINFECTIVES FOR SYSTEMIC USE","sertraline, efavirenz"
CYP2B6,*2/*29,"NERVOUS SYSTEM DRUGS, ANTIINFECTIVES FOR SYSTEMIC USE","sertraline, efavirenz"
CYP2B6,*2/*30,"NERVOUS SYSTEM DRUGS, ANTIINFECTIVES FOR SYSTEMIC USE","sertraline, efavirenz"
CYP2B6,*2/*34,"NERVOUS SYSTEM DRUGS, ANTIINFECTIVES FOR SYSTEMIC USE","sertraline, efavirenz"
CYP2B6,*2/*36,"NERVOUS SYSTEM DRUGS, ANTIINFECTIVES FOR SYSTEMIC USE","sertraline, efavirenz"
CYP2B6,*2/*37,"NERVOUS SYSTEM DRUGS, ANTIINFECTIVES FOR SYSTEMIC USE","sertraline, efavirenz"
CYP2B6,*2/*38,"NERVOUS SYSTEM DRUGS, ANTIINFECTIVES FOR SYSTEMIC USE","sertraline, efavirenz"
CYP2B6,*2/*39,"NERVOUS SYSTEM DRUGS, ANTIINFECTIVES FOR SYSTEMIC USE","sertraline, efavirenz"
CYP2B6,*2/*40,"NERVOUS SYSTEM DRUGS, ANTIINFECTIVES FOR SYSTEMIC USE","sertraline, efavirenz"
CYP2B6,*2/*41,"NERVOUS SYSTEM DRUGS, ANTIINFECTIVES FOR SYSTEMIC USE","sertraline, efavirenz"
CYP2B6,*2/*42,"NERVOUS SYSTEM DRUGS, ANTIINFECTIVES FOR SYSTEMIC USE","sertraline, efavirenz"
CYP2B6,*2/*43,"NERVOUS SYSTEM DRUGS, ANTIINFECTIVES FOR SYSTEMIC USE","sertraline, efavirenz"
CYP2B6,*4/*6,"NERVOUS SYSTEM DRUGS, ANTIINFECTIVES FOR SYSTEMIC USE","sertraline, efavirenz"
CYP2B6,*4/*7,"NERVOUS SYSTEM DRUGS, ANTIINFECTIVES FOR SYSTEMIC USE","sertraline, efavirenz"
CYP2B6,*4/*8,"NERVOUS SYSTEM DRUGS, ANTIINFECTIVES FOR SYSTEMIC USE","sertraline, efavirenz"
CYP2B6,*4/*9,"NERVOUS SYSTEM DRUGS, ANTIINFECTIVES FOR SYSTEMIC USE","sertraline, efavirenz"
CYP2B6,*12/*4,"NERVOUS SYSTEM DRUGS, ANTIINFECTIVES FOR SYSTEMIC USE","sertraline, efavirenz"
CYP2B6,*13/*4,"NERVOUS SYSTEM DRUGS, ANTIINFECTIVES FOR SYSTEMIC USE","sertraline, efavirenz"
CYP2B6,*18/*4,"NERVOUS SYSTEM DRUGS, ANTIINFECTIVES FOR SYSTEMIC USE","sertraline, efavirenz"
CYP2B6,*19/*4,"NERVOUS SYSTEM DRUGS, ANTIINFECTIVES FOR SYSTEMIC USE","sertraline, efavirenz"
CYP2B6,*20/*4,"NERVOUS SYSTEM DRUGS, ANTIINFECTIVES FOR SYSTEMIC USE","sertraline, efavirenz"
CYP2B6,*26/*4,"NERVOUS SYSTEM DRUGS, ANTIINFECTIVES FOR SYSTEMIC USE","sertraline, efavirenz"
CYP2B6,*28/*4,"NERVOUS SYSTEM DRUGS, ANTIINFECTIVES FOR SYSTEMIC USE","sertraline, efavirenz"
CYP2B6,*29/*4,"NERVOUS SYSTEM DRUGS, ANTIINFECTIVES FOR SYSTEMIC USE","sertraline, efavirenz"
CYP2B6,*30/*4,"NERVOUS SYSTEM DRUGS, ANTIINFECTIVES FOR SYSTEMIC USE","sertraline, efavirenz"
CYP2B6,*34/*4,"NERVOUS SYSTEM DRUGS, ANTIINFECTIVES FOR SYSTEMIC USE","sertraline, efavirenz"
CYP2B6,*36/*4,"NERVOUS SYSTEM DRUGS, ANTIINFECTIVES FOR SYSTEMIC USE","sertraline, efavirenz"
CYP2B6,*37/*4,"NERVOUS SYSTEM DRUGS, ANTIINFECTIVES FOR SYSTEMIC USE","sertraline, efavirenz"
CYP2B6,*38/*4,"NERVOUS SYSTEM DRUGS, ANTIINFECTIVES FOR SYSTEMIC USE","sertraline, efavirenz"
CYP2B6,*39/*4,"NERVOUS SYSTEM DRUGS, ANTIINFECTIVES FOR SYSTEMIC USE","sertraline, efavirenz"
CYP2B6,*4/*40,"NERVOUS SYSTEM DRUGS, ANTIINFECTIVES FOR SYSTEMIC USE","sertraline, efavirenz"
CYP2B6,*4/*41,"NERVOUS SYSTEM DRUGS, ANTIINFECTIVES FOR SYSTEMIC USE","sertraline, efavirenz"
CYP2B6,*4/*42,"NERVOUS SYSTEM DRUGS, ANTIINFECTIVES FOR SYSTEMIC USE","sertraline, efavirenz"
CYP2B6,*4/*43,"NERVOUS SYSTEM DRUGS, ANTIINFECTIVES FOR SYSTEMIC USE","sertraline, efavirenz"
CYP2B6,*5/*6,"NERVOUS SYSTEM DRUGS, ANTIINFECTIVES FOR SYSTEMIC USE","sertraline, efavirenz"
CYP2B6,*5/*7,"NERVOUS SYSTEM DRUGS, ANTIINFECTIVES FOR SYSTEMIC USE","sertraline, efavirenz"
CYP2B6,*5/*8,"NERVOUS SYSTEM DRUGS, ANTIINFECTIVES FOR SYSTEMIC USE","sertraline, efavirenz"
CYP2B6,*5/*9,"NERVOUS SYSTEM DRUGS, ANTIINFECTIVES FOR SYSTEMIC USE","sertraline, efavirenz"
CYP2B6,*12/*5,"NERVOUS SYSTEM DRUGS, ANTIINFECTIVES FOR SYSTEMIC USE","sertraline, efavirenz"
CYP2B6,*13/*5,"NERVOUS SYSTEM DRUGS, ANTIINFECTIVES FOR SYSTEMIC USE","sertraline, efavirenz"
CYP2B6,*18/*5,"NERVOUS SYSTEM DRUGS, ANTIINFECTIVES FOR SYSTEMIC USE","sertraline, efavirenz"
CYP2B6,*19/*5,"NERVOUS SYSTEM DRUGS, ANTIINFECTIVES FOR SYSTEMIC USE","sertraline, efavirenz"
CYP2B6,*20/*5,"NERVOUS SYSTEM DRUGS, ANTIINFECTIVES FOR SYSTEMIC USE","sertraline, efavirenz"
CYP2B6,*26/*5,"NERVOUS SYSTEM DRUGS, ANTIINFECTIVES FOR SYSTEMIC USE","sertraline, efavirenz"
CYP2B6,*28/*5,"NERVOUS SYSTEM DRUGS, ANTIINFECTIVES FOR SYSTEMIC USE","sertraline, efavirenz"
CYP2B6,*29/*5,"NERVOUS SYSTEM DRUGS, ANTIINFECTIVES FOR SYSTEMIC USE","sertraline, efavirenz"
CYP2B6,*30/*5,"NERVOUS SYSTEM DRUGS, ANTIINFECTIVES FOR SYSTEMIC USE","sertraline, efavirenz"
CYP2B6,*34/*5,"NERVOUS SYSTEM DRUGS, ANTIINFECTIVES FOR SYSTEMIC USE","sertraline, efavirenz"
CYP2B6,*36/*5,"NERVOUS SYSTEM DRUGS, ANTIINFECTIVES FOR SYSTEMIC USE","sertraline, efavirenz"
CYP2B6,*37/*5,"NERVOUS SYSTEM DRUGS, ANTIINFECTIVES FOR SYSTEMIC USE","sertraline, efavirenz"
CYP2B6,*38/*5,"NERVOUS SYSTEM DRUGS, ANTIINFECTIVES FOR SYSTEMIC USE","sertraline, efavirenz"
CYP2B6,*39/*5,"NERVOUS SYSTEM DRUGS, ANTIINFECTIVES FOR SYSTEMIC USE","sertraline, efavirenz"
CYP2B6,*40/*5,"NERVOUS SYSTEM DRUGS, ANTIINFECTIVES FOR SYSTEMIC USE","sertraline, efavirenz"
CYP2B6,*41/*5,"NERVOUS SYSTEM DRUGS, ANTIINFECTIVES FOR SYSTEMIC USE","sertraline, efavirenz"
CYP2B6,*42/*5,"NERVOUS SYSTEM DRUGS, ANTIINFECTIVES FOR SYSTEMIC USE","sertraline, efavirenz"
CYP2B6,*43/*5,"NERVOUS SYSTEM DRUGS, ANTIINFECTIVES FOR SYSTEMIC USE","sertraline, efavirenz"
