Gene,Genotype(s),Therapeutic Area(s),Drug(s)
CYP2C19,*1/*1,ALIMENTARY TRACT AND METABOLISM DRUGS,"omeprazole, pantoprazole, dexlansoprazole, lansoprazole"
CYP2C19,*1/*2,"ANTIINFECTIVES FOR SYSTEMIC USE, BLOOD AND BLOOD FORMING ORGAN DRUGS, CARDIOVASCULAR SYSTEM DRUGS, NERVOUS SYSTEM DRUGS, ALIMENTARY TRACT AND METABOLISM DRUGS","doxepin, voriconazole, pantoprazole, omeprazole, lansoprazole, clobazam, citalopram, brivaracetam, escitalopram, sertraline, clopidogrel, dexlansoprazole, mavacamten"
CYP2C19,*1/*3,"ANTIINFECTIVES FOR SYSTEMIC USE, BLOOD AND BLOOD FORMING ORGAN DRUGS, CARDIOVASCULAR SYSTEM DRUGS, NERVOUS SYSTEM DRUGS, ALIMENTARY TRACT AND METABOLISM DRUGS","doxepin, voriconazole, pantoprazole, omeprazole, lansoprazole, clobazam, citalopram, brivaracetam, escitalopram, sertraline, clopidogrel, dexlansoprazole, mavacamten"
CYP2C19,*1/*4,"ANTIINFECTIVES FOR SYSTEMIC USE, BLOOD AND BLOOD FORMING ORGAN DRUGS, CARDIOVASCULAR SYSTEM DRUGS, NERVOUS SYSTEM DRUGS, ALIMENTARY TRACT AND METABOLISM DRUGS","doxepin, voriconazole, pantoprazole, omeprazole, lansoprazole, clobazam, citalopram, brivaracetam, escitalopram, sertraline, clopidogrel, dexlansoprazole, mavacamten"
CYP2C19,*1/*5,"ANTIINFECTIVES FOR SYSTEMIC USE, BLOOD AND BLOOD FORMING ORGAN DRUGS, CARDIOVASCULAR SYSTEM DRUGS, NERVOUS SYSTEM DRUGS, ALIMENTARY TRACT AND METABOLISM DRUGS","doxepin, voriconazole, pantoprazole, omeprazole, lansoprazole, clobazam, citalopram, brivaracetam, escitalopram, sertraline, clopidogrel, dexlansoprazole, mavacamten"
CYP2C19,*1/*6,"ANTIINFECTIVES FOR SYSTEMIC USE, BLOOD AND BLOOD FORMING ORGAN DRUGS, CARDIOVASCULAR SYSTEM DRUGS, NERVOUS SYSTEM DRUGS, ALIMENTARY TRACT AND METABOLISM DRUGS","doxepin, voriconazole, pantoprazole, omeprazole, lansoprazole, clobazam, citalopram, brivaracetam, escitalopram, sertraline, clopidogrel, dexlansoprazole, mavacamten"
CYP2C19,*1/*7,"ANTIINFECTIVES FOR SYSTEMIC USE, BLOOD AND BLOOD FORMING ORGAN DRUGS, CARDIOVASCULAR SYSTEM DRUGS, NERVOUS SYSTEM DRUGS, ALIMENTARY TRACT AND METABOLISM DRUGS","doxepin, voriconazole, pantoprazole, omeprazole, lansoprazole, clobazam, citalopram, brivaracetam, escitalopram, sertraline, clopidogrel, dexlansoprazole, mavacamten"
CYP2C19,*1/*8,"ANTIINFECTIVES FOR SYSTEMIC USE, BLOOD AND BLOOD FORMING ORGAN DRUGS, CARDIOVASCULAR SYSTEM DRUGS, NERVOUS SYSTEM DRUGS, ALIMENTARY TRACT AND METABOLISM DRUGS","doxepin, voriconazole, pantoprazole, omeprazole, lansoprazole, clobazam, citalopram, brivaracetam, escitalopram, sertraline, clopidogrel, dexlansoprazole, mavacamten"
CYP2C19,*1/*9,"ANTIINFECTIVES FOR SYSTEMIC USE, BLOOD AND BLOOD FORMING ORGAN DRUGS, CARDIOVASCULAR SYSTEM DRUGS, NERVOUS SYSTEM DRUGS, ALIMENTARY TRACT AND METABOLISM DRUGS","doxepin, voriconazole, pantoprazole, omeprazole, lansoprazole, clobazam, citalopram, brivaracetam, escitalopram, sertraline, clopidogrel, dexlansoprazole, mavacamten"
CYP2C19,*1/*10,"ANTIINFECTIVES FOR SYSTEMIC USE, BLOOD AND BLOOD FORMING ORGAN DRUGS, CARDIOVASCULAR SYSTEM DRUGS, NERVOUS SYSTEM DRUGS, ALIMENTARY TRACT AND METABOLISM DRUGS","doxepin, voriconazole, pantoprazole, omeprazole, lansoprazole, clobazam, citalopram, brivaracetam, escitalopram, sertraline, clopidogrel, dexlansoprazole, mavacamten"
