Gene,Genotype(s),Therapeutic Area(s),Drug(s)
CYP2D6,*1/*1,"NERVOUS SYSTEM DRUGS, RESPIRATORY SYSTEM DRUGS, ALIMENTARY TRACT AND METABOLISM DRUGS, ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS","atomoxetine, meclizine, eliglustat, tetrabenazine, tamoxifen"
CYP2D6,*1/*1x2,"RESPIRATORY SYSTEM DRUGS, ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS, CARDIOVASCULAR SYSTEM DRUGS, NERVOUS SYSTEM DRUGS, ALIMENTARY TRACT AND METABOLISM DRUGS","vortioxetine, haloperidol, metoprolol, tamoxifen, amoxapine, amitriptyline, risperidone, zuclopenthixol, clomipramine, meclizine, eliglustat, tramadol, donepezil, flecainide, desipramine, propafenone, paroxetine, acetaminophen / caffeine / dihydrocodeine, trimipramine, atomoxetine, tropisetron, doxepin, ondansetron, nortriptyline, imipramine, codeine"
CYP2D6,*1/*1x≥3,"RESPIRATORY SYSTEM DRUGS, ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS, CARDIOVASCULAR SYSTEM DRUGS, NERVOUS SYSTEM DRUGS, ALIMENTARY TRACT AND METABOLISM DRUGS","vortioxetine, haloperidol, metoprolol, tamoxifen, amoxapine, amitriptyline, risperidone, zuclopenthixol, clomipramine, meclizine, eliglustat, tramadol, donepezil, flecainide, desipramine, propafenone, paroxetine, acetaminophen / caffeine / dihydrocodeine, trimipramine, atomoxetine, tropisetron, doxepin, ondansetron, nortriptyline, imipramine, codeine"
CYP2D6,*1/*2,"NERVOUS SYSTEM DRUGS, RESPIRATORY SYSTEM DRUGS, ALIMENTARY TRACT AND METABOLISM DRUGS, ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS","atomoxetine, meclizine, eliglustat, tetrabenazine, tamoxifen"
CYP2D6,*1/*2x2,"RESPIRATORY SYSTEM DRUGS, ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS, CARDIOVASCULAR SYSTEM DRUGS, NERVOUS SYSTEM DRUGS, ALIMENTARY TRACT AND METABOLISM DRUGS","vortioxetine, haloperidol, metoprolol, tamoxifen, amoxapine, amitriptyline, risperidone, zuclopenthixol, clomipramine, meclizine, eliglustat, tramadol, donepezil, flecainide, desipramine, propafenone, paroxetine, acetaminophen / caffeine / dihydrocodeine, trimipramine, atomoxetine, tropisetron, doxepin, ondansetron, nortriptyline, imipramine, codeine"
CYP2D6,*1/*2x≥3,"RESPIRATORY SYSTEM DRUGS, ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS, CARDIOVASCULAR SYSTEM DRUGS, NERVOUS SYSTEM DRUGS, ALIMENTARY TRACT AND METABOLISM DRUGS","vortioxetine, haloperidol, metoprolol, tamoxifen, amoxapine, amitriptyline, risperidone, zuclopenthixol, clomipramine, meclizine, eliglustat, tramadol, donepezil, flecainide, desipramine, propafenone, paroxetine, acetaminophen / caffeine / dihydrocodeine, trimipramine, atomoxetine, tropisetron, doxepin, ondansetron, nortriptyline, imipramine, codeine"
CYP2D6,*1/*3,"RESPIRATORY SYSTEM DRUGS, ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS, CARDIOVASCULAR SYSTEM DRUGS, NERVOUS SYSTEM DRUGS, ALIMENTARY TRACT AND METABOLISM DRUGS","metoprolol, tetrabenazine, tamoxifen, amoxapine, amitriptyline, zuclopenthixol, clomipramine, meclizine, eliglustat, tramadol, venlafaxine, flecainide, desipramine, propafenone, paroxetine, trimipramine, atomoxetine, thioridazine, fluvoxamine, doxepin, pimozide, nortriptyline, imipramine, codeine, hydrocodone"
CYP2D6,*1/*3x2,"RESPIRATORY SYSTEM DRUGS, ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS, CARDIOVASCULAR SYSTEM DRUGS, NERVOUS SYSTEM DRUGS, ALIMENTARY TRACT AND METABOLISM DRUGS","metoprolol, tetrabenazine, tamoxifen, amoxapine, amitriptyline, zuclopenthixol, clomipramine, meclizine, eliglustat, tramadol, venlafaxine, flecainide, desipramine, propafenone, paroxetine, trimipramine, atomoxetine, thioridazine, fluvoxamine, doxepin, pimozide, nortriptyline, imipramine, codeine, hydrocodone"
CYP2D6,*1/*4,"RESPIRATORY SYSTEM DRUGS, ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS, CARDIOVASCULAR SYSTEM DRUGS, NERVOUS SYSTEM DRUGS, ALIMENTARY TRACT AND METABOLISM DRUGS","metoprolol, tetrabenazine, tamoxifen, amoxapine, amitriptyline, zuclopenthixol, clomipramine, meclizine, eliglustat, tramadol, venlafaxine, flecainide, desipramine, propafenone, paroxetine, trimipramine, atomoxetine, thioridazine, fluvoxamine, doxepin, pimozide, nortriptyline, imipramine, codeine, hydrocodone"
CYP2D6,*1/*4x2,"RESPIRATORY SYSTEM DRUGS, ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS, CARDIOVASCULAR SYSTEM DRUGS, NERVOUS SYSTEM DRUGS, ALIMENTARY TRACT AND METABOLISM DRUGS","metoprolol, tetrabenazine, tamoxifen, amoxapine, amitriptyline, zuclopenthixol, clomipramine, meclizine, eliglustat, tramadol, venlafaxine, flecainide, desipramine, propafenone, paroxetine, trimipramine, atomoxetine, thioridazine, fluvoxamine, doxepin, pimozide, nortriptyline, imipramine, codeine, hydrocodone"
CYP2D6,*1/*4x≥3,"NERVOUS SYSTEM DRUGS, RESPIRATORY SYSTEM DRUGS, ALIMENTARY TRACT AND METABOLISM DRUGS, ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS","tetrabenazine, tamoxifen, amoxapine, amitriptyline, clomipramine, meclizine, eliglustat, tramadol, desipramine, paroxetine, trimipramine, atomoxetine, thioridazine, fluvoxamine, doxepin, nortriptyline, imipramine, codeine, hydrocodone"
CYP2D6,*1/*5,"RESPIRATORY SYSTEM DRUGS, ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS, CARDIOVASCULAR SYSTEM DRUGS, NERVOUS SYSTEM DRUGS, ALIMENTARY TRACT AND METABOLISM DRUGS","metoprolol, tetrabenazine, tamoxifen, amoxapine, amitriptyline, zuclopenthixol, clomipramine, meclizine, eliglustat, tramadol, venlafaxine, flecainide, desipramine, propafenone, paroxetine, trimipramine, atomoxetine, thioridazine, fluvoxamine, doxepin, pimozide, nortriptyline, imipramine, codeine, hydrocodone"
CYP2D6,*1/*6,"RESPIRATORY SYSTEM DRUGS, ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS, CARDIOVASCULAR SYSTEM DRUGS, NERVOUS SYSTEM DRUGS, ALIMENTARY TRACT AND METABOLISM DRUGS","metoprolol, tetrabenazine, tamoxifen, amoxapine, amitriptyline, zuclopenthixol, clomipramine, meclizine, eliglustat, tramadol, venlafaxine, flecainide, desipramine, propafenone, paroxetine, trimipramine, atomoxetine, thioridazine, fluvoxamine, doxepin, pimozide, nortriptyline, imipramine, codeine, hydrocodone"
