Gene,Genotype(s),Therapeutic Area(s),Drug(s)
NUDT15,*1/*1,ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS,"azathioprine, thioguanine"
NUDT15,*1/*2,ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS,"azathioprine, mercaptopurine, thioguanine"
NUDT15,*1/*3,ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS,"azathioprine, mercaptopurine, thioguanine"
NUDT15,*1/*4,ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS,"azathioprine, mercaptopurine, thioguanine"
NUDT15,*1/*5,ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS,"azathioprine, mercaptopurine, thioguanine"
NUDT15,*1/*6,ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS,"azathioprine, mercaptopurine, thioguanine"
NUDT15,*1/*7,ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS,"azathioprine, mercaptopurine, thioguanine"
NUDT15,*1/*8,ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS,"azathioprine, mercaptopurine, thioguanine"
NUDT15,*1/*9,ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS,"azathioprine, mercaptopurine, thioguanine"
NUDT15,*2/*2,ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS,"azathioprine, mercaptopurine, thioguanine"
NUDT15,*2/*3,ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS,"azathioprine, mercaptopurine, thioguanine"
NUDT15,*2/*4,ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS,"azathioprine, mercaptopurine, thioguanine"
NUDT15,*2/*5,ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS,"azathioprine, mercaptopurine, thioguanine"
NUDT15,*2/*6,ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS,"azathioprine, mercaptopurine, thioguanine"
NUDT15,*2/*7,ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS,"azathioprine, mercaptopurine, thioguanine"
NUDT15,*2/*8,ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS,"azathioprine, mercaptopurine, thioguanine"
NUDT15,*2/*9,ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS,"azathioprine, mercaptopurine, thioguanine"
NUDT15,*3/*3,ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS,"azathioprine, mercaptopurine, thioguanine"
NUDT15,*3/*4,ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS,"azathioprine, mercaptopurine, thioguanine"
NUDT15,*3/*5,ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS,"azathioprine, mercaptopurine, thioguanine"
NUDT15,*3/*6,ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS,"azathioprine, mercaptopurine, thioguanine"
NUDT15,*3/*7,ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS,"azathioprine, mercaptopurine, thioguanine"
NUDT15,*3/*8,ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS,"azathioprine, mercaptopurine, thioguanine"
NUDT15,*3/*9,ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS,"azathioprine, mercaptopurine, thioguanine"
NUDT15,*4/*4,ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS,"azathioprine, mercaptopurine, thioguanine"
NUDT15,*4/*5,ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS,"azathioprine, mercaptopurine, thioguanine"
NUDT15,*4/*6,ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS,"azathioprine, mercaptopurine, thioguanine"
NUDT15,*4/*7,ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS,"azathioprine, mercaptopurine, thioguanine"
NUDT15,*4/*8,ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS,"azathioprine, mercaptopurine, thioguanine"
NUDT15,*4/*9,ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS,"azathioprine, mercaptopurine, thioguanine"
NUDT15,*5/*5,ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS,"azathioprine, mercaptopurine, thioguanine"
NUDT15,*5/*6,ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS,"azathioprine, mercaptopurine, thioguanine"
NUDT15,*5/*7,ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS,"azathioprine, mercaptopurine, thioguanine"
NUDT15,*5/*8,ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS,"azathioprine, mercaptopurine, thioguanine"
