Gene,Genotype(s),Therapeutic Area(s),Drug(s)
TPMT,*1/*1,ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS,thioguanine
TPMT,*1/*2,ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS,"mercaptopurine, thioguanine, azathioprine"
TPMT,*1/*3A,ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS,"mercaptopurine, thioguanine, azathioprine"
TPMT,*1/*3B,ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS,"mercaptopurine, thioguanine, azathioprine"
TPMT,*1/*3C,ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS,"mercaptopurine, thioguanine, azathioprine"
TPMT,*1/*4,ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS,"mercaptopurine, thioguanine, azathioprine"
TPMT,*1/*5,ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS,"mercaptopurine, thioguanine, azathioprine"
TPMT,*1/*6,ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS,"mercaptopurine, thioguanine, azathioprine"
TPMT,*1/*7,ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS,"mercaptopurine, thioguanine, azathioprine"
TPMT,*1/*8,ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS,"mercaptopurine, thioguanine, azathioprine"
TPMT,*1/*9,ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS,"mercaptopurine, thioguanine, azathioprine"
TPMT,*1/*10,ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS,"mercaptopurine, thioguanine, azathioprine"
TPMT,*1/*11,ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS,"mercaptopurine, thioguanine, azathioprine"
TPMT,*1/*12,ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS,"mercaptopurine, thioguanine, azathioprine"
TPMT,*1/*13,ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS,"mercaptopurine, thioguanine, azathioprine"
TPMT,*1/*14,ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS,"mercaptopurine, thioguanine, azathioprine"
TPMT,*1/*15,ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS,"mercaptopurine, thioguanine, azathioprine"
TPMT,*1/*16,ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS,"mercaptopurine, thioguanine, azathioprine"
TPMT,*1/*17,ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS,"mercaptopurine, thioguanine, azathioprine"
