Gene,Genotype(s),Therapeutic Area(s),Drug(s)
SLCO1B1,*1/*5,CARDIOVASCULAR SYSTEM DRUGS,"pravastatin, simvastatin, rosuvastatin, pitavastatin, lovastatin, fluvastatin, atorvastatin"
SLCO1B1,*1/*9,CARDIOVASCULAR SYSTEM DRUGS,"pravastatin, simvastatin, rosuvastatin, pitavastatin, lovastatin, fluvastatin, atorvastatin"
SLCO1B1,*1/*15,CARDIOVASCULAR SYSTEM DRUGS,"pravastatin, simvastatin, rosuvastatin, pitavastatin, lovastatin, fluvastatin, atorvastatin"
SLCO1B1,*1/*23,CARDIOVASCULAR SYSTEM DRUGS,"pravastatin, simvastatin, rosuvastatin, pitavastatin, lovastatin, fluvastatin, atorvastatin"
SLCO1B1,*1/*31,CARDIOVASCULAR SYSTEM DRUGS,"pravastatin, simvastatin, rosuvastatin, pitavastatin, lovastatin, fluvastatin, atorvastatin"
SLCO1B1,*1/*40,CARDIOVASCULAR SYSTEM DRUGS,"simvastatin, atorvastatin"
SLCO1B1,*1/*46,CARDIOVASCULAR SYSTEM DRUGS,"pravastatin, simvastatin, rosuvastatin, pitavastatin, lovastatin, fluvastatin, atorvastatin"
SLCO1B1,*1/*47,CARDIOVASCULAR SYSTEM DRUGS,"pravastatin, simvastatin, rosuvastatin, pitavastatin, lovastatin, fluvastatin, atorvastatin"
SLCO1B1,*1/*48,CARDIOVASCULAR SYSTEM DRUGS,"pravastatin, simvastatin, rosuvastatin, pitavastatin, lovastatin, fluvastatin, atorvastatin"
SLCO1B1,*1/*49,CARDIOVASCULAR SYSTEM DRUGS,"pravastatin, simvastatin, rosuvastatin, pitavastatin, lovastatin, fluvastatin, atorvastatin"
SLCO1B1,*2/*5,CARDIOVASCULAR SYSTEM DRUGS,"pravastatin, simvastatin, rosuvastatin, pitavastatin, lovastatin, fluvastatin, atorvastatin"
SLCO1B1,*2/*9,CARDIOVASCULAR SYSTEM DRUGS,"pravastatin, simvastatin, rosuvastatin, pitavastatin, lovastatin, fluvastatin, atorvastatin"
SLCO1B1,*15/*2,CARDIOVASCULAR SYSTEM DRUGS,"pravastatin, simvastatin, rosuvastatin, pitavastatin, lovastatin, fluvastatin, atorvastatin"
SLCO1B1,*2/*23,CARDIOVASCULAR SYSTEM DRUGS,"pravastatin, simvastatin, rosuvastatin, pitavastatin, lovastatin, fluvastatin, atorvastatin"
SLCO1B1,*2/*31,CARDIOVASCULAR SYSTEM DRUGS,"pravastatin, simvastatin, rosuvastatin, pitavastatin, lovastatin, fluvastatin, atorvastatin"
SLCO1B1,*2/*46,CARDIOVASCULAR SYSTEM DRUGS,"pravastatin, simvastatin, rosuvastatin, pitavastatin, lovastatin, fluvastatin, atorvastatin"
SLCO1B1,*2/*47,CARDIOVASCULAR SYSTEM DRUGS,"pravastatin, simvastatin, rosuvastatin, pitavastatin, lovastatin, fluvastatin, atorvastatin"
SLCO1B1,*2/*48,CARDIOVASCULAR SYSTEM DRUGS,"pravastatin, simvastatin, rosuvastatin, pitavastatin, lovastatin, fluvastatin, atorvastatin"
SLCO1B1,*2/*49,CARDIOVASCULAR SYSTEM DRUGS,"pravastatin, simvastatin, rosuvastatin, pitavastatin, lovastatin, fluvastatin, atorvastatin"
SLCO1B1,*3/*5,CARDIOVASCULAR SYSTEM DRUGS,"pravastatin, simvastatin, rosuvastatin, pitavastatin, lovastatin, fluvastatin, atorvastatin"
SLCO1B1,*3/*9,CARDIOVASCULAR SYSTEM DRUGS,"pravastatin, simvastatin, rosuvastatin, pitavastatin, lovastatin, fluvastatin, atorvastatin"
SLCO1B1,*15/*3,CARDIOVASCULAR SYSTEM DRUGS,"pravastatin, simvastatin, rosuvastatin, pitavastatin, lovastatin, fluvastatin, atorvastatin"
SLCO1B1,*23/*3,CARDIOVASCULAR SYSTEM DRUGS,"pravastatin, simvastatin, rosuvastatin, pitavastatin, lovastatin, fluvastatin, atorvastatin"
SLCO1B1,*3/*31,CARDIOVASCULAR SYSTEM DRUGS,"pravastatin, simvastatin, rosuvastatin, pitavastatin, lovastatin, fluvastatin, atorvastatin"
SLCO1B1,*3/*46,CARDIOVASCULAR SYSTEM DRUGS,"pravastatin, simvastatin, rosuvastatin, pitavastatin, lovastatin, fluvastatin, atorvastatin"
SLCO1B1,*3/*47,CARDIOVASCULAR SYSTEM DRUGS,"pravastatin, simvastatin, rosuvastatin, pitavastatin, lovastatin, fluvastatin, atorvastatin"
SLCO1B1,*3/*48,CARDIOVASCULAR SYSTEM DRUGS,"pravastatin, simvastatin, rosuvastatin, pitavastatin, lovastatin, fluvastatin, atorvastatin"
SLCO1B1,*3/*49,CARDIOVASCULAR SYSTEM DRUGS,"pravastatin, simvastatin, rosuvastatin, pitavastatin, lovastatin, fluvastatin, atorvastatin"
SLCO1B1,*4/*5,CARDIOVASCULAR SYSTEM DRUGS,"pravastatin, simvastatin, rosuvastatin, pitavastatin, lovastatin, fluvastatin, atorvastatin"
