Gene,Genotype(s),Therapeutic Area(s),Drug(s)
UGT1A1,*1/*1,ANTIINFECTIVES FOR SYSTEMIC USE,atazanavir
UGT1A1,*1/*6,"ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS, ANTIINFECTIVES FOR SYSTEMIC USE","atazanavir, irinotecan"
UGT1A1,*1/*27,"ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS, ANTIINFECTIVES FOR SYSTEMIC USE","atazanavir, irinotecan"
UGT1A1,*1/*28,"ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS, ANTIINFECTIVES FOR SYSTEMIC USE","atazanavir, irinotecan"
UGT1A1,*1/*36,ANTIINFECTIVES FOR SYSTEMIC USE,atazanavir
UGT1A1,*1/*37,"ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS, ANTIINFECTIVES FOR SYSTEMIC USE","atazanavir, irinotecan"
UGT1A1,*1/*80+*28,"ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS, ANTIINFECTIVES FOR SYSTEMIC USE","atazanavir, irinotecan"
UGT1A1,*1/*80+*37,"ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS, ANTIINFECTIVES FOR SYSTEMIC USE","atazanavir, irinotecan"
UGT1A1,*6/*6,"ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS, ANTIINFECTIVES FOR SYSTEMIC USE","atazanavir, sacituzumab govitecan, nilotinib, dolutegravir, belinostat, pazopanib, raltegravir, irinotecan"
UGT1A1,*27/*6,"ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS, ANTIINFECTIVES FOR SYSTEMIC USE","atazanavir, sacituzumab govitecan, nilotinib, dolutegravir, belinostat, pazopanib, raltegravir, irinotecan"
UGT1A1,*28/*6,"ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS, ANTIINFECTIVES FOR SYSTEMIC USE","atazanavir, sacituzumab govitecan, nilotinib, dolutegravir, belinostat, pazopanib, raltegravir, irinotecan"
UGT1A1,*36/*6,"ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS, ANTIINFECTIVES FOR SYSTEMIC USE","atazanavir, irinotecan"
UGT1A1,*37/*6,"ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS, ANTIINFECTIVES FOR SYSTEMIC USE","atazanavir, sacituzumab govitecan, nilotinib, dolutegravir, belinostat, pazopanib, raltegravir, irinotecan"
UGT1A1,*6/*80+*28,"ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS, ANTIINFECTIVES FOR SYSTEMIC USE","atazanavir, sacituzumab govitecan, nilotinib, dolutegravir, belinostat, pazopanib, raltegravir, irinotecan"
UGT1A1,*6/*80+*37,"ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS, ANTIINFECTIVES FOR SYSTEMIC USE","atazanavir, sacituzumab govitecan, nilotinib, dolutegravir, belinostat, pazopanib, raltegravir, irinotecan"
UGT1A1,*27/*27,"ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS, ANTIINFECTIVES FOR SYSTEMIC USE","atazanavir, sacituzumab govitecan, nilotinib, dolutegravir, belinostat, pazopanib, raltegravir, irinotecan"
UGT1A1,*27/*28,"ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS, ANTIINFECTIVES FOR SYSTEMIC USE","atazanavir, sacituzumab govitecan, nilotinib, dolutegravir, belinostat, pazopanib, raltegravir, irinotecan"
UGT1A1,*27/*36,"ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS, ANTIINFECTIVES FOR SYSTEMIC USE","atazanavir, irinotecan"
UGT1A1,*27/*37,"ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS, ANTIINFECTIVES FOR SYSTEMIC USE","atazanavir, sacituzumab govitecan, nilotinib, dolutegravir, belinostat, pazopanib, raltegravir, irinotecan"
